State,Tax,Year,Petrol_Consumption_Gal
West Virginia,34.6,2015,1579284000
Wyoming,24.5,2015,1235304000
Alaska,8,2014,1702764000
Alabama,18,2014,4089204000
Arkansas,21.8,2014,2680062000
Arizona,19,2014,4492236000
California,46.5,2014,25340952000
Colorado,22,2014,3955644000
Connecticut,25,2014,2546460000
"Washington, D.C.",23.5,2014,163128000
Delaware,23,2014,839328000
Florida,17.1,2014,13342602000
Georgia,19.3,2014,7863828000
Hawaii,17,2014,1880970000
Iowa,22,2014,3778614000
Idaho,26,2014,1332534000
Illinois,20.1,2014,10002300000
Indiana,18,2014,6020364000
Kansas,25.03,2014,2875194000
Kentucky,30.8,2014,4818870000
Louisiana,20.125,2014,15037806000
Massachusetts,24,2014,4654104000
Maryland,27,2014,4086978000
Maine,30,2014,1539216000
Michigan,19,2014,7211820000
Minnesota,28.6,2014,5037060000
Missouri,17.3,2014,5166042000
Mississippi,18.4,2014,3034038000
Montana,27,2014,1341522000
North Carolina,37.75,2014,7023534000
North Dakota,23,2014,1854048000
Nebraska,27.3,2014,1918770000
New Hampshire,19.625,2014,1330434000
New Jersey,14.5,2014,7081914000
New Mexico,18.875,2014,1951698000
Nevada,23.805,2014,2227554000
New York,26.4,2014,11197872000
Ohio,28,2014,8809038000
Oklahoma,17,2014,4298364000
Oregon,30,2014,2675274000
Pennsylvania,40.7,2014,9863196000
Rhode Island,33,2014,700938000
South Carolina,16.75,2014,4019526000
South Dakota,24,2014,949830000
Tennessee,21.4,2014,5549376000
Texas,20,2014,53752272000
Utah,24.5,2014,2214492000
Virginia,11.1,2014,6885606000
Vermont,31.97,2014,674436000
Washington,37.5,2014,5484780000
Wisconsin,32.9,2014,4580856000
West Virginia,35.7,2014,1605660000
Wyoming,24,2014,1326990000
Alaska,8,2013,1719228000
Alabama,18,2013,4102938000
Arkansas,21.8,2013,2641674000
Arizona,19,2013,4478292000
California,43,2013,25391352000
Colorado,22,2013,3833214000
Connecticut,25,2013,2543814000
"Washington, D.C.",23.5,2013,151200000
Delaware,23,2013,825342000
Florida,16.9,2013,13152762000
Georgia,19.5,2013,8078574000
Hawaii,17,2013,1951740000
Iowa,22,2013,3695538000
Idaho,26,2013,1298934000
Illinois,20.1,2013,9736020000
Indiana,18,2013,5928384000
Kansas,25.03,2013,2732940000
Kentucky,29.9,2013,4796442000
Louisiana,20.125,2013,15548400000
Massachusetts,21,2013,4669644000
Maryland,23.5,2013,4052328000
Maine,30,2013,1506078000
Michigan,19,2013,7091826000
Minnesota,28.6,2013,5001990000
Missouri,17.3,2013,5042394000
Mississippi,18.4,2013,2992416000
Montana,27,2013,1366680000
North Carolina,37.75,2013,6849444000
North Dakota,23,2013,1750014000
Nebraska,27.3,2013,1893192000
New Hampshire,19.625,2013,1239840000
New Jersey,14.5,2013,7209888000
New Mexico,18.875,2013,1898778000
Nevada,23.805,2013,2169552000
New York,26.6,2013,10767960000
Ohio,28,2013,8742468000
Oklahoma,17,2013,4049640000
Oregon,30,2013,2638062000
Pennsylvania,31.2,2013,9690198000
Rhode Island,33,2013,667632000
South Carolina,16.75,2013,4023222000
South Dakota,24,2013,935340000
Tennessee,21.4,2013,5419932000
Texas,20,2013,54243504000
Utah,24.5,2013,2193912000
Virginia,17.5,2013,6604080000
Vermont,26.68,2013,664986000
Washington,37.5,2013,5585244000
Wisconsin,32.9,2013,4307982000
West Virginia,34.7,2013,1623384000
Wyoming,14,2013,1258236000
Alaska,8,2011,1992396000
Alabama,18,2011,4299204000
Arkansas,21.8,2011,2752386000
Arizona,19,2011,4527684000
California,35.3,2011,25878888000
Colorado,22,2011,3790920000
Connecticut,25,2011,2612022000
"Washington, D.C.",20,2011,180054000
Delaware,23,2011,918204000
Florida,16.2,2011,13196778000
Georgia,17.6,2011,8276436000
Hawaii,17,2011,1989414000
Iowa,22,2011,3684156000
Idaho,26,2011,1283646000
Illinois,20.1,2011,9834384000
Indiana,18,2011,5802930000
Kansas,24,2011,2645958000
Kentucky,25.9,2011,5188218000
Louisiana,20,2011,16442076000
Massachusetts,21,2011,4726890000
Maryland,23.5,2011,4031748000
Maine,29.5,2011,1523004000
Michigan,19,2011,6742134000
Minnesota,29.6,2011,4790226000
Missouri,17.3,2011,5189100000
Mississippi,18.4,2011,3002496000
Montana,27,2011,1398768000
North Carolina,32.75,2011,6974646000
North Dakota,23,2011,1449378000
Nebraska,27.3,2011,1874376000
New Hampshire,19.625,2011,1248744000
New Jersey,14.5,2011,7598766000
New Mexico,18.875,2011,1892100000
Nevada,24.805,2011,2149812000
New York,25,2011,11159190000
Ohio,28,2011,8776992000
Oklahoma,17,2011,4037166000
Oregon,30,2011,2690562000
Pennsylvania,31.2,2011,9879324000
Rhode Island,33,2011,669312000
South Carolina,16.75,2011,4014318000
South Dakota,24,2011,926436000
Tennessee,21.4,2011,5513592000
Texas,20,2011,49874790000
Utah,24.5,2011,2209746000
Virginia,17.5,2011,6556158000
Vermont,24.98,2011,665490000
Washington,37.5,2011,5545008000
Wisconsin,32.9,2011,4321632000
West Virginia,32.2,2011,1645182000
Wyoming,14,2011,1295196000
Alaska,8,2010,2019150000
Alabama,18,2010,4315500000
Arkansas,21.5,2010,2794932000
Arizona,18,2010,4492824000
California,18,2010,26432028000
Colorado,22,2010,3894576000
Connecticut,25,2010,2716644000
"Washington, D.C.",20,2010,192864000
Delaware,23,2010,831138000
Florida,16,2010,13925940000
Georgia,16.8,2010,8563968000
Hawaii,17,2010,1946952000
Iowa,21,2010,3687600000
Idaho,26,2010,1295868000
Illinois,20.1,2010,10017798000
Indiana,18,2010,5867526000
Kansas,24,2010,2779770000
Kentucky,24.1,2010,5282466000
Louisiana,20,2010,16386804000
Massachusetts,21,2010,4818660000
Maryland,23.5,2010,4159176000
Maine,29.5,2010,1527204000
Michigan,19,2010,6867756000
Minnesota,27.1,2010,4880400000
Missouri,17.55,2010,5367180000
Mississippi,18.4,2010,3089268000
Montana,27,2010,1345470000
North Carolina,30.55,2010,7313838000
North Dakota,23,2010,1179696000
Nebraska,27.7,2010,1958208000
New Hampshire,19.625,2010,1248618000
New Jersey,14.5,2010,7517874000
New Mexico,18.875,2010,1835232000
Nevada,24.055,2010,2261280000
New York,24.4,2010,11883480000
Ohio,28,2010,8932140000
Oklahoma,17,2010,4156236000
Oregon,24,2010,2764608000
Pennsylvania,31.2,2010,10074246000
Rhode Island,31,2010,717864000
South Carolina,16,2010,4169004000
South Dakota,22,2010,937566000
Tennessee,21.4,2010,5565126000
Texas,20,2010,49419636000
Utah,24.5,2010,2052372000
Virginia,17.5,2010,6942264000
Vermont,24.5,2010,678636000
Washington,37.5,2010,5506620000
Wisconsin,32.9,2010,4423188000
West Virginia,32.2,2010,1680252000
Wyoming,14,2010,1274448000
Alaska,8,2008,2073666000
Alabama,18,2008,4460190000
Arkansas,21.5,2008,2806818000
Arizona,18,2008,4426380000
California,18,2008,28234080000
Colorado,22,2008,3897894000
Connecticut,25,2008,2751546000
"Washington, D.C.",20,2008,150066000
Delaware,23,2008,889434000
Florida,15.6,2008,13804686000
Georgia,18.5,2008,7673526000
Hawaii,17,2008,1780674000
Iowa,20.7,2008,3655428000
Idaho,26,2008,1212792000
Illinois,20.1,2008,10417974000
Indiana,18,2008,6257958000
Kansas,24,2008,2789472000
Kentucky,21,2008,5208294000
Louisiana,20,2008,18060210000
Massachusetts,21,2008,5010726000
Maryland,23.5,2008,4136832000
Maine,27.6,2008,1603434000
Michigan,19,2008,7002030000
Minnesota,20,2008,5243406000
Missouri,17.55,2008,5553954000
Mississippi,18.4,2008,3299184000
Montana,27,2008,1504314000
North Carolina,30.15,2008,7316022000
North Dakota,23,2008,1094688000
Nebraska,23.9,2008,1776684000
New Hampshire,19.625,2008,1328334000
New Jersey,14.5,2008,9449916000
New Mexico,18.875,2008,1909782000
Nevada,24.055,2008,2080386000
New York,24.4,2008,11693220000
Ohio,28,2008,9870714000
Oklahoma,17,2008,4251534000
Oregon,24,2008,2846340000
Pennsylvania,31.2,2008,10998162000
Rhode Island,31,2008,720132000
South Carolina,16,2008,4091346000
South Dakota,22,2008,925218000
Tennessee,21.4,2008,5740770000
Texas,20,2008,46180890000
Utah,24.5,2008,2188746000
Virginia,17.5,2008,7016982000
Vermont,20,2008,646380000
Washington,36,2008,6047748000
Wisconsin,32.9,2008,4605552000
West Virginia,32.2,2008,1740438000
Wyoming,14,2008,1297842000
Alaska,8,2007,2394504000
Alabama,18,2007,4687452000
Arkansas,21.5,2007,2809422000
Arizona,18,2007,4597866000
California,18,2007,29865402000
Colorado,22,2007,4092816000
Connecticut,25,2007,3040926000
"Washington, D.C.",20,2007,175476000
Delaware,23,2007,943488000
Florida,15.3,2007,15051666000
Georgia,15.2,2007,8272740000
Hawaii,16,2007,2222010000
Iowa,21,2007,3542112000
Idaho,25,2007,1284948000
Illinois,20.1,2007,10728858000
Indiana,18,2007,6609120000
Kansas,24,2007,3379908000
Kentucky,19.7,2007,5495490000
Louisiana,20,2007,16639644000
Massachusetts,21,2007,5213250000
Maryland,23.5,2007,4303572000
Maine,26.8,2007,1804950000
Michigan,19,2007,7591794000
Minnesota,20,2007,5489442000
Missouri,17.55,2007,5913390000
Mississippi,18.4,2007,3543960000
Montana,27,2007,1601586000
North Carolina,30.15,2007,7364994000
North Dakota,23,2007,1113294000
Nebraska,28,2007,1828176000
New Hampshire,19.625,2007,1345764000
New Jersey,14.5,2007,9669912000
New Mexico,18.875,2007,2233392000
Nevada,24.805,2007,2253090000
New York,24.6,2007,12174582000
Ohio,28,2007,10170552000
Oklahoma,17,2007,4364976000
